
 LIST ALL SELECTED NODES.   DSYS=      a

   NODE        X           Y           Z         THXY    THYZ    THZX
        1    20.000      0.0000      15.000        0.00    0.00    0.00
        2    19.829      2.6105      15.000        0.00    0.00    0.00
        3    19.318      5.1764      15.000        0.00    0.00    0.00
        4    18.478      7.6537      15.000        0.00    0.00    0.00
        5    17.320      10.000      15.000        0.00    0.00    0.00
        6    15.867      12.175      15.000        0.00    0.00    0.00
        7    14.142      14.142      15.000        0.00    0.00    0.00
        8    12.175      15.867      15.000        0.00    0.00    0.00
        9    10.000      17.320      15.000        0.00    0.00    0.00
       10    7.6537      18.478      15.000        0.00    0.00    0.00
       11    5.1764      19.318      15.000        0.00    0.00    0.00
       12    2.6105      19.829      15.000        0.00    0.00    0.00
       13    0.0000      20.000      15.000        0.00    0.00    0.00
       14   -2.6105      19.829      15.000        0.00    0.00    0.00
       15   -5.1764      19.318      15.000        0.00    0.00    0.00
       16   -7.6537      18.478      15.000        0.00    0.00    0.00
       17   -10.000      17.320      15.000        0.00    0.00    0.00
       18   -12.175      15.867      15.000        0.00    0.00    0.00
       19   -14.142      14.142      15.000        0.00    0.00    0.00
       20   -15.867      12.175      15.000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
       21   -17.320      10.000      15.000        0.00    0.00    0.00
       22   -18.478      7.6537      15.000        0.00    0.00    0.00
       23   -19.318      5.1764      15.000        0.00    0.00    0.00
       24   -19.829      2.6105      15.000        0.00    0.00    0.00
       25   -20.000      0.0000      15.000        0.00    0.00    0.00
       26   -19.829     -2.6105      15.000        0.00    0.00    0.00
       27   -19.318     -5.1764      15.000        0.00    0.00    0.00
       28   -18.478     -7.6537      15.000        0.00    0.00    0.00
       29   -17.320     -10.000      15.000        0.00    0.00    0.00
       30   -15.867     -12.175      15.000        0.00    0.00    0.00
       31   -14.142     -14.142      15.000        0.00    0.00    0.00
       32   -12.175     -15.867      15.000        0.00    0.00    0.00
       33   -10.000     -17.320      15.000        0.00    0.00    0.00
       34   -7.6537     -18.478      15.000        0.00    0.00    0.00
       35   -5.1764     -19.318      15.000        0.00    0.00    0.00
       36   -2.6105     -19.829      15.000        0.00    0.00    0.00
       37    0.0000     -20.000      15.000        0.00    0.00    0.00
       38    2.6105     -19.829      15.000        0.00    0.00    0.00
       39    5.1764     -19.318      15.000        0.00    0.00    0.00
